Method	Estimate (actual)	Estimate (relative)	Wait (mean)	Wait (max)	Hub r1	Hub r4	Hub r9	Hosp r1	Hosp r4	Hosp r9
agg_stats	[1.000, 3.525]	[0%, 252%]	0.000	0.000	1.910	1.910	1.910	1.910	1.910	1.910
agg_mask_stats	[10.000, 35.25]	[900%, 3425%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
agg_mpc_stats	[1.000, 3.525]	[0%, 252%]	0.099	0.099	0.000	0.000	0.000	0.000	0.000	0.000
hll0_stats	[0.694, 22.20]	[-31%, 2120%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
hll0_shuffle_stats	[0.694, 22.20]	[-31%, 2120%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
hll0_rehashed_stats	[0.694, 22.20]	[-31%, 2120%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
hll0_mask_stats	[0.694, 22.20]	[-31%, 2120%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
hll0_mpc_stats	[0.694, 22.20]	[-31%, 2120%]	0.385	0.385	0.000	0.000	0.000	0.000	0.000	0.000
hll0_mpc_shuffle_stats	[0.694, 22.20]	[-31%, 2120%]	0.385	0.385	0.000	0.000	0.000	0.000	0.000	0.000
hll1_stats	[1.386, 1.386]	[39%, 39%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
hll1_shuffle_stats	[1.386, 1.386]	[39%, 39%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
hll1_rehashed_stats	[1.386, 1.386]	[39%, 39%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
hll1_mask_stats	[1.386, 1.386]	[39%, 39%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
hll1_mpc_stats	[1.386, 1.386]	[39%, 39%]	0.675	0.675	0.000	0.000	0.000	0.000	0.000	0.000
hll1_mpc_shuffle_stats	[1.386, 1.386]	[39%, 39%]	0.675	0.675	0.000	0.000	0.000	0.000	0.000	0.000
hll4_stats	[1.033, 1.033]	[3%, 3%]	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000
hll4_shuffle_stats	[1.033, 1.033]	[3%, 3%]	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000
hll4_rehashed_stats	[1.033, 1.033]	[3%, 3%]	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000
hll4_mask_stats	[1.033, 1.033]	[3%, 3%]	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000
hll4_mpc_stats	[1.033, 1.033]	[3%, 3%]	4.781	4.781	0.000	0.000	0.000	0.000	0.000	0.000
hll4_mpc_shuffle_stats	[1.033, 1.033]	[3%, 3%]	4.781	4.781	0.000	0.000	0.000	0.000	0.000	0.000
hll7_stats	[1.004, 1.004]	[0%, 0%]	0.006	0.006	0.000	0.000	0.000	0.000	0.000	0.000
hll7_shuffle_stats	[1.004, 1.004]	[0%, 0%]	0.006	0.006	0.000	0.000	0.000	0.000	0.000	0.000
hll7_rehashed_stats	[1.004, 1.004]	[0%, 0%]	0.007	0.007	0.000	0.000	0.000	0.000	0.000	0.000
hll7_mask_stats	[1.004, 1.004]	[0%, 0%]	0.007	0.007	0.000	0.000	0.000	0.000	0.000	0.000
hll7_mpc_stats	[1.004, 1.004]	[0%, 0%]	37.73	37.73	0.000	0.000	0.000	0.000	0.000	0.000
hll7_mpc_shuffle_stats	[1.004, 1.004]	[0%, 0%]	37.73	37.73	0.000	0.000	0.000	0.000	0.000	0.000
hll15_stats	[1.000, 1.000]	[0%, 0%]	1.463	1.463	0.080	0.140	0.310	0.080	0.140	0.310
hll15_shuffle_stats	[1.000, 1.000]	[0%, 0%]	1.463	1.463	0.000	0.000	0.000	0.080	0.140	0.310
hll15_rehashed_stats	[1.000, 1.000]	[0%, 0%]	1.623	1.647	0.000	0.000	0.000	0.080	0.140	0.310
hll15_mask_stats	[1.000, 21.00]	[0%, 2000%]	1.632	1.632	0.000	0.000	0.000	0.000	0.000	0.000
all_stats	[1.000, 1.000]	[0%, 0%]	0.001	0.001	1.910	1.910	1.910	1.910	1.910	1.910
all_rehashed_stats	[1.000, 1.000]	[0%, 0%]	0.001	0.001	0.000	0.000	0.000	1.910	1.910	1.910
Method	Estimate (actual)	Estimate (relative)	Wait (mean)	Wait (max)	Hub r1	Hub r4	Hub r9	Hosp r1	Hosp r4	Hosp r9
agg_stats	[1.475, 24.00]	[-85%, 140%]	0.000	0.000	13.07	15.66	15.72	13.07	15.66	15.72
agg_mask_stats	[10.000, 205.2]	[0%, 1952%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
agg_mpc_stats	[15.47, 24.00]	[55%, 140%]	0.099	0.099	0.000	0.000	0.000	0.000	0.000	0.000
hll0_stats	[2.776, 88.82]	[-72%, 788%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
hll0_shuffle_stats	[2.776, 88.82]	[-72%, 788%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
hll0_rehashed_stats	[2.776, 88.82]	[-72%, 788%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
hll0_mask_stats	[2.776, 88.82]	[-72%, 788%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
hll0_mpc_stats	[2.776, 88.82]	[-72%, 788%]	0.385	0.385	0.000	0.000	0.000	0.000	0.000	0.000
hll0_mpc_shuffle_stats	[2.776, 88.82]	[-72%, 788%]	0.385	0.385	0.000	0.000	0.000	0.000	0.000	0.000
hll1_stats	[3.332, 35.23]	[-67%, 252%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
hll1_shuffle_stats	[3.332, 35.23]	[-67%, 252%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
hll1_rehashed_stats	[3.332, 35.23]	[-67%, 252%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
hll1_mask_stats	[3.332, 35.23]	[-67%, 252%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
hll1_mpc_stats	[3.332, 35.23]	[-67%, 252%]	0.675	0.675	0.000	0.000	0.000	0.000	0.000	0.000
hll1_mpc_shuffle_stats	[3.332, 35.23]	[-67%, 252%]	0.675	0.675	0.000	0.000	0.000	0.000	0.000	0.000
hll4_stats	[5.995, 15.69]	[-40%, 57%]	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000
hll4_shuffle_stats	[5.995, 15.69]	[-40%, 57%]	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000
hll4_rehashed_stats	[5.995, 15.69]	[-40%, 57%]	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000
hll4_mask_stats	[5.995, 15.69]	[-40%, 57%]	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000
hll4_mpc_stats	[5.995, 15.69]	[-40%, 57%]	4.778	4.778	0.000	0.000	0.000	0.000	0.000	0.000
hll4_mpc_shuffle_stats	[5.995, 15.69]	[-40%, 57%]	4.778	4.778	0.000	0.000	0.000	0.000	0.000	0.000
hll7_stats	[8.261, 10.41]	[-17%, 4%]	0.006	0.006	0.000	0.010	0.010	0.000	0.010	0.010
hll7_shuffle_stats	[8.261, 10.41]	[-17%, 4%]	0.006	0.006	0.000	0.000	0.000	0.000	0.010	0.010
hll7_rehashed_stats	[8.261, 10.41]	[-17%, 4%]	0.007	0.007	0.000	0.000	0.000	0.000	0.010	0.010
hll7_mask_stats	[8.261, 10.41]	[-17%, 4%]	0.007	0.007	0.000	0.000	0.000	0.000	0.000	0.000
hll7_mpc_stats	[8.261, 10.41]	[-17%, 4%]	37.72	37.72	0.000	0.000	0.000	0.000	0.000	0.000
hll7_mpc_shuffle_stats	[8.261, 10.41]	[-17%, 4%]	37.72	37.72	0.000	0.000	0.000	0.000	0.000	0.000
hll15_stats	[10.00, 10.00]	[0%, 0%]	1.477	1.477	0.440	1.730	3.800	0.440	1.730	3.800
hll15_shuffle_stats	[10.00, 10.00]	[0%, 0%]	1.477	1.477	0.000	0.000	0.000	0.440	1.730	3.800
hll15_rehashed_stats	[10.00, 10.00]	[0%, 0%]	1.636	1.659	0.000	0.000	0.000	0.440	1.730	3.800
hll15_mask_stats	[10.000, 87.53]	[0%, 775%]	1.578	1.578	0.000	0.000	0.000	0.000	0.000	0.000
all_stats	[10.000, 10.000]	[0%, 0%]	0.002	0.002	19.32	19.32	19.32	19.32	19.32	19.32
all_rehashed_stats	[10.000, 10.000]	[0%, 0%]	0.002	0.002	0.000	0.000	0.000	19.32	19.32	19.32
Method	Estimate (actual)	Estimate (relative)	Wait (mean)	Wait (max)	Hub r1	Hub r4	Hub r9	Hosp r1	Hosp r4	Hosp r9
agg_stats	[9.000, 205.6]	[-91%, 106%]	0.000	0.000	23.80	50.74	59.78	23.80	50.74	59.78
agg_mask_stats	[10.000, 734.1]	[-90%, 634%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
agg_mpc_stats	[176.9, 205.6]	[77%, 106%]	0.099	0.099	0.000	0.000	0.000	0.000	0.000	0.000
hll0_stats	[11.10, 541.8]	[-89%, 442%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
hll0_shuffle_stats	[11.10, 541.8]	[-89%, 442%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
hll0_rehashed_stats	[11.10, 541.8]	[-89%, 442%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
hll0_mask_stats	[11.10, 541.8]	[-89%, 442%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
hll0_mpc_stats	[11.10, 541.8]	[-89%, 442%]	0.384	0.384	0.000	0.000	0.000	0.000	0.000	0.000
hll0_mpc_shuffle_stats	[11.10, 541.8]	[-89%, 442%]	0.384	0.384	0.000	0.000	0.000	0.000	0.000	0.000
hll1_stats	[19.99, 807.6]	[-80%, 708%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
hll1_shuffle_stats	[19.99, 807.6]	[-80%, 708%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
hll1_rehashed_stats	[19.99, 807.6]	[-80%, 708%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
hll1_mask_stats	[19.99, 807.6]	[-80%, 708%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
hll1_mpc_stats	[19.99, 807.6]	[-80%, 708%]	0.676	0.676	0.000	0.000	0.000	0.000	0.000	0.000
hll1_mpc_shuffle_stats	[19.99, 807.6]	[-80%, 708%]	0.676	0.676	0.000	0.000	0.000	0.000	0.000	0.000
hll4_stats	[58.08, 158.6]	[-42%, 59%]	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000
hll4_shuffle_stats	[58.08, 158.6]	[-42%, 59%]	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000
hll4_rehashed_stats	[58.08, 158.6]	[-42%, 59%]	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000
hll4_mask_stats	[58.08, 158.6]	[-42%, 59%]	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000
hll4_mpc_stats	[58.08, 158.6]	[-42%, 59%]	4.782	4.782	0.000	0.000	0.000	0.000	0.000	0.000
hll4_mpc_shuffle_stats	[58.08, 158.6]	[-42%, 59%]	4.782	4.782	0.000	0.000	0.000	0.000	0.000	0.000
hll7_stats	[87.68, 115.3]	[-12%, 15%]	0.006	0.006	0.000	0.040	0.070	0.000	0.040	0.070
hll7_shuffle_stats	[87.68, 115.3]	[-12%, 15%]	0.006	0.006	0.000	0.000	0.000	0.000	0.040	0.070
hll7_rehashed_stats	[87.68, 115.3]	[-12%, 15%]	0.007	0.007	0.000	0.000	0.000	0.000	0.040	0.070
hll7_mask_stats	[87.68, 118.0]	[-12%, 18%]	0.007	0.007	0.000	0.000	0.000	0.000	0.000	0.000
hll7_mpc_stats	[87.68, 115.3]	[-12%, 15%]	37.65	37.65	0.000	0.000	0.000	0.000	0.000	0.000
hll7_mpc_shuffle_stats	[87.68, 115.3]	[-12%, 15%]	37.65	37.65	0.000	0.000	0.000	0.000	0.000	0.000
hll15_stats	[99.15, 100.2]	[-1%, 0%]	1.440	1.440	4.090	17.21	36.12	4.090	17.21	36.12
hll15_shuffle_stats	[99.15, 100.2]	[-1%, 0%]	1.440	1.440	0.000	0.000	0.000	4.090	17.21	36.12
hll15_rehashed_stats	[99.15, 100.2]	[-1%, 0%]	1.600	1.625	0.000	0.000	0.000	4.090	17.21	36.12
hll15_mask_stats	[48.41, 464.9]	[-52%, 365%]	1.207	1.207	0.000	0.000	0.000	0.000	0.000	0.000
all_stats	[100.00, 100.00]	[0%, 0%]	0.002	0.002	190.6	190.6	190.6	190.6	190.6	190.6
all_rehashed_stats	[100.00, 100.00]	[0%, 0%]	0.002	0.002	0.000	0.000	0.000	190.6	190.6	190.6
Method	Estimate (actual)	Estimate (relative)	Wait (mean)	Wait (max)	Hub r1	Hub r4	Hub r9	Hosp r1	Hosp r4	Hosp r9
agg_stats	[93.47, 1,973]	[-91%, 97%]	0.000	0.000	5.510	21.79	43.84	5.510	21.79	43.84
agg_mask_stats	[93.47, 2,236]	[-91%, 124%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
agg_mpc_stats	[1,863, 1,973]	[86%, 97%]	0.099	0.099	0.000	0.000	0.000	0.000	0.000	0.000
hll0_stats	[177.6, 22,737]	[-82%, 2174%]	0.000	0.000	0.000	0.020	0.030	0.000	0.020	0.030
hll0_shuffle_stats	[177.6, 22,737]	[-82%, 2174%]	0.000	0.000	0.000	0.020	0.030	0.000	0.020	0.030
hll0_rehashed_stats	[177.6, 22,737]	[-82%, 2174%]	0.000	0.001	0.000	0.000	0.000	0.000	0.020	0.030
hll0_mask_stats	[177.6, 22,737]	[-82%, 2174%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
hll0_mpc_stats	[177.6, 22,737]	[-82%, 2174%]	0.385	0.385	0.000	0.000	0.000	0.000	0.000	0.000
hll0_mpc_shuffle_stats	[177.6, 22,737]	[-82%, 2174%]	0.385	0.385	0.000	0.000	0.000	0.000	0.000	0.000
hll1_stats	[277.9, 5,118]	[-72%, 412%]	0.000	0.000	0.010	0.020	0.040	0.010	0.020	0.040
hll1_shuffle_stats	[277.9, 5,118]	[-72%, 412%]	0.000	0.000	0.000	0.020	0.030	0.010	0.020	0.040
hll1_rehashed_stats	[277.9, 5,118]	[-72%, 412%]	0.000	0.001	0.000	0.000	0.000	0.010	0.020	0.040
hll1_mask_stats	[237.9, 5,118]	[-76%, 412%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
hll1_mpc_stats	[277.9, 5,118]	[-72%, 412%]	0.676	0.676	0.000	0.000	0.000	0.000	0.000	0.000
hll1_mpc_shuffle_stats	[277.9, 5,118]	[-72%, 412%]	0.676	0.676	0.000	0.000	0.000	0.000	0.000	0.000
hll4_stats	[594.1, 1,498]	[-41%, 50%]	0.001	0.001	0.030	0.080	0.190	0.030	0.080	0.190
hll4_shuffle_stats	[594.1, 1,498]	[-41%, 50%]	0.001	0.001	0.000	0.020	0.030	0.030	0.080	0.190
hll4_rehashed_stats	[594.1, 1,498]	[-41%, 50%]	0.001	0.002	0.000	0.000	0.000	0.030	0.080	0.190
hll4_mask_stats	[594.1, 1,498]	[-41%, 50%]	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000
hll4_mpc_stats	[594.1, 1,498]	[-41%, 50%]	4.764	4.764	0.000	0.000	0.020	0.000	0.000	0.020
hll4_mpc_shuffle_stats	[594.1, 1,498]	[-41%, 50%]	4.764	4.764	0.000	0.000	0.000	0.000	0.000	0.020
